Refid,Author,Title,Date,Journal,PMID,User,Level,Were you able to find the article? ,Type of Study,Sample Size,Sample Size is >5 (Case Reports ONLY) ,Speciality Bucket -> Anesthesia,Speciality Bucket -> Cardiology,Speciality Bucket -> Emergency Medicine,Speciality Bucket -> Family Medicine,Speciality Bucket -> Gastroenterology,Speciality Bucket -> General,Speciality Bucket -> Immunology,Speciality Bucket -> Internal Medicine,Speciality Bucket -> ICU,Speciality Bucket -> Medical Education,Speciality Bucket -> OBGYN,Speciality Bucket -> Oncology,Speciality Bucket -> Peds,Speciality Bucket -> Psych,Speciality Bucket -> Respirology,Speciality Bucket -> Rheumatology,Speciality Bucket -> Radiology,Speciality Bucket -> Other,Speciality Bucket -> Other (COMMENT),Type Bucket -> Evidence-based guidance documents and guidelines,Type Bucket -> High quality descriptive studies,Type Bucket -> Natural history studies,Type Bucket -> Case report,Type Bucket -> Reports of interventions/treatments,Type Bucket -> Imaging studies,Type Bucket -> Letter to the Editor/Opinion,Type Bucket -> Not in English,Type Bucket -> Other,Type Bucket -> Other (COMMENT),Should this reference be included in the next stage? 
1,"O Vega-Vega, M Arvizu-Hernández, JG Domínguez-Cherit, J Sierra-Madero, R Correa-Rotter",[Prevention and control of SARS-CoV-2 (Covid-19) coronavirus infection in hemodialysis units].,20-Mar,Salud publica de Mexico,32216248,kearneh,1,Yes,Narrative Review/Expert Opinion,Unclear,N/A - pick if not case report,,,,,,,,Internal Medicine,,,,,,,,,,Other,Nephrology,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
1,"O Vega-Vega, M Arvizu-Hernández, JG Domínguez-Cherit, J Sierra-Madero, R Correa-Rotter",[Prevention and control of SARS-CoV-2 (Covid-19) coronavirus infection in hemodialysis units].,20-Mar,Salud publica de Mexico,32216248,Daniellevin,1,Yes,Narrative Review/Expert Opinion,unclear,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Nephrology,,,,,Reports of interventions/treatments,,,,,,Yes
5,TL Ang,Gastrointestinal endoscopy during COVID-19 pandemic.,20-Mar,Journal of gastroenterology and hepatology,32216110,kearneh,1,Yes,Narrative Review/Expert Opinion,0,N/A - pick if not case report,,,,,Gastroenterology,,,,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
5,TL Ang,Gastrointestinal endoscopy during COVID-19 pandemic.,20-Mar,Journal of gastroenterology and hepatology,32216110,Daniellevin,1,Yes,Other,unclear,N/A - pick if not case report,,,,,Gastroenterology,,,,,,,,,,,,,,,,,,,,,,,,,Yes
6,"T Sun, J Guan",Novel coronavirus and central nervous system.,20-Mar,European journal of neurology,32216009,kearneh,1,Yes,Other,Unclear,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Neurology,,,,,,,,,,,Yes
6,"T Sun, J Guan",Novel coronavirus and central nervous system.,20-Mar,European journal of neurology,32216009,Daniellevin,1,Yes,Narrative Review/Expert Opinion,Unclear,,,,,,,General,,,,,,,,,,,,Other,Neurology,,,Natural history studies,,,,,,,,Yes
8,"SH Wong, RN Lui, JJ Sung",Covid-19 and the Digestive System.,20-Mar,Journal of gastroenterology and hepatology,32215956,kearneh,1,Yes,Narrative Review/Expert Opinion,0,N/A - pick if not case report,,,,,Gastroenterology,,,,,,,,,,,,,,,Evidence-based guidance documents and guidelines,,,,,,,,,,Yes
8,"SH Wong, RN Lui, JJ Sung",Covid-19 and the Digestive System.,20-Mar,Journal of gastroenterology and hepatology,32215956,Daniellevin,1,Yes,Narrative Review/Expert Opinion,unclear,,,,,,Gastroenterology,General,,Internal Medicine,,,,,,,,,,,,,High quality descriptive studies,Natural history studies,,,,,,,,Yes
9,S Recalcati,Cutaneous manifestations in COVID-19: a first perspective.,20-Mar,Journal of the European Academy of Dermatology and Venereology : JEADV,32215952,kearneh,1,Yes,Survey,88,N/A - pick if not case report,,,,,,,,,,,,,,,,,,Other,Dermatology,,,,,,,Letter to the Editor/Opinion,,,,Yes
9,S Recalcati,Cutaneous manifestations in COVID-19: a first perspective.,20-Mar,Journal of the European Academy of Dermatology and Venereology : JEADV,32215952,Daniellevin,1,Yes,Survey,88,,,,,,,General,,,,,,,,,,,,Other,Derm,,,,,,,Letter to the Editor/Opinion,,,,Yes
