"Refid","Author","Title","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> ICU","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Peds","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Other","Speciality Bucket -> Other (COMMENT)","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion","Type Bucket -> Incorrect Coronavirus","Type Bucket -> Not in English","Type Bucket -> Other","Type Bucket -> Other (COMMENT)","Type Bucket -> Can't tell","Should this reference be included in the next stage? ",
"5","TL Ang","Gastrointestinal endoscopy during COVID-19 pandemic.","Mar 2020","Journal of gastroenterology and hepatology","32216110","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"5","TL Ang","Gastrointestinal endoscopy during COVID-19 pandemic.","Mar 2020","Journal of gastroenterology and hepatology","32216110","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"6","T Sun, J Guan","Novel coronavirus and central nervous system.","Mar 2020","European journal of neurology","32216009","kearneh","1","Yes","Can't tell",,,,,,,,,,,,,,,,"Neurology",,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"6","T Sun, J Guan","Novel coronavirus and central nervous system.","Mar 2020","European journal of neurology","32216009","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,"Neurology",,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"8","SH Wong, RN Lui, JJ Sung","Covid-19 and the Digestive System.","Mar 2020","Journal of gastroenterology and hepatology","32215956","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"8","SH Wong, RN Lui, JJ Sung","Covid-19 and the Digestive System.","Mar 2020","Journal of gastroenterology and hepatology","32215956","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"9","S Recalcati","Cutaneous manifestations in COVID-19: a first perspective.","Mar 2020","Journal of the European Academy of Dermatology and Venereology : JEADV","32215952","kearneh","1","Yes","Survey",,,"Dermatology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"9","S Recalcati","Cutaneous manifestations in COVID-19: a first perspective.","Mar 2020","Journal of the European Academy of Dermatology and Venereology : JEADV","32215952","Daniellevin","1","Yes","Survey",,,"Dermatology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"11","OW Hamer, B Salzberger, J Gebauer, C Stroszczynski, M Pfeifer","CT morphology of COVID-19: Case report and review of literature.","Mar 2020","RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","32215898","becky.jones","1","Yes","Systematic Review",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,"Respirology",,"Radiology",,,,,,,,,,,"Imaging studies",,,,,,,"Yes",
"11","OW Hamer, B Salzberger, J Gebauer, C Stroszczynski, M Pfeifer","CT morphology of COVID-19: Case report and review of literature.","Mar 2020","RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","32215898","Meghanglibbery","1","Yes","Systematic Review",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,"Respirology",,"Radiology",,,,,,,,,,,"Imaging studies",,,,,,,"Yes",
"14","S Ekins, TR Lane, PB Madrid","Tilorone: a Broad-Spectrum Antiviral Invented in the USA and Commercialized in Russia and beyond.","Mar 2020","Pharmaceutical research","32215760","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"14","S Ekins, TR Lane, PB Madrid","Tilorone: a Broad-Spectrum Antiviral Invented in the USA and Commercialized in Russia and beyond.","Mar 2020","Pharmaceutical research","32215760","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,,,,,"Yes",
"15","K Li, Y Fang, W Li, C Pan, P Qin, Y Zhong, X Liu, M Huang, Y Liao, S Li","CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19).","Mar 2020","European radiology","32215691","becky.jones","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,"Imaging studies",,,,,,,"Yes",
"15","K Li, Y Fang, W Li, C Pan, P Qin, Y Zhong, X Liu, M Huang, Y Liao, S Li","CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19).","Mar 2020","European radiology","32215691","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,"Imaging studies",,,,,,,"Yes",
"17","JT Poston, BK Patel, AM Davis","Management of Critically Ill Adults With COVID-19.","Mar 2020","JAMA","32215647","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,"Medical Education",,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"17","JT Poston, BK Patel, AM Davis","Management of Critically Ill Adults With COVID-19.","Mar 2020","JAMA","32215647","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,"Medical Education",,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"20","A Giacomelli, L Pezzati, F Conti, D Bernacchia, M Siano, L Oreni, S Rusconi, C Gervasoni, AL Ridolfo, G Rizzardini, S Antinori, M Galli","Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215618","becky.jones","1","Yes","Survey",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"20","A Giacomelli, L Pezzati, F Conti, D Bernacchia, M Siano, L Oreni, S Rusconi, C Gervasoni, AL Ridolfo, G Rizzardini, S Antinori, M Galli","Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215618","Meghanglibbery","1","Yes","Survey",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"21","TC Hanff, MO Harhay, TS Brown, JB Cohen, AM Mohareb","Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215613","kearneh","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"21","TC Hanff, MO Harhay, TS Brown, JB Cohen, AM Mohareb","Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215613","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,"Emergency Medicine",,,,"General",,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"22","L Zeng, S Xia, W Yuan, K Yan, F Xiao, J Shao, W Zhou","Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.","Mar 2020","JAMA pediatrics","32215598","kearneh","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,"OBGYN",,,"Peds",,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"22","L Zeng, S Xia, W Yuan, K Yan, F Xiao, J Shao, W Zhou","Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China.","Mar 2020","JAMA pediatrics","32215598","becky.jones","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,"OBGYN",,,"Peds",,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"23","L Bourouiba","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19.","Mar 2020","JAMA","32215590","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,,,,,"Public Health",,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"23","L Bourouiba","Turbulent Gas Clouds and Respiratory Pathogen Emissions: Potential Implications for Reducing Transmission of COVID-19.","Mar 2020","JAMA","32215590","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,"Public Health",,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"24","H Zeng, C Xu, J Fan, Y Tang, Q Deng, W Zhang, X Long","Antibodies in Infants Born to Mothers With COVID-19 Pneumonia.","Mar 2020","JAMA","32215589","kearneh","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,"OBGYN",,,"Peds",,,,,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"24","H Zeng, C Xu, J Fan, Y Tang, Q Deng, W Zhang, X Long","Antibodies in Infants Born to Mothers With COVID-19 Pneumonia.","Mar 2020","JAMA","32215589","becky.jones","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,"OBGYN",,,"Peds",,,,,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"25","L Dong, J Tian, S He, C Zhu, J Wang, C Liu, J Yang","Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn.","Mar 2020","JAMA","32215581","kearneh","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,"OBGYN",,,"Peds",,,,,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"25","L Dong, J Tian, S He, C Zhu, J Wang, C Liu, J Yang","Possible Vertical Transmission of SARS-CoV-2 From an Infected Mother to Her Newborn.","Mar 2020","JAMA","32215581","becky.jones","1","Yes","Case Series/Report",,,,,,,,,,,,,,,,,"OBGYN",,,"Peds",,,,,,,,,,,,,"Case report",,,,,,,,,,"Yes",
"27","G Monteleone, S Ardizzone","Are patients with inflammatory bowel disease at increased risk for Covid-19 infection?","Mar 2020","Journal of Crohn's & colitis","32215548","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion",,,,,,"Yes",
"27","G Monteleone, S Ardizzone","Are patients with inflammatory bowel disease at increased risk for Covid-19 infection?","Mar 2020","Journal of Crohn's & colitis","32215548","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,,,,,"Yes",
"30","J Qiu, B Shen, M Zhao, Z Wang, B Xie, Y Xu","A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.","2020","General psychiatry","32215365","kearneh","1","Yes","Survey",,,,,"Family Medicine",,,"General",,,,,,,,,,,,,,"Psych",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"30","J Qiu, B Shen, M Zhao, Z Wang, B Xie, Y Xu","A nationwide survey of psychological distress among Chinese people in the COVID-19 epidemic: implications and policy recommendations.","2020","General psychiatry","32215365","becky.jones","1","Yes","Survey",,,,,"Family Medicine",,,"General",,,,,,,,,,,,,,"Psych",,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"32","S Danese, M Cecconi, A Spinelli","Management of IBD during the COVID-19 outbreak: resetting clinical priorities.","Mar 2020","Nature reviews. Gastroenterology & hepatology","32214232","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"32","S Danese, M Cecconi, A Spinelli","Management of IBD during the COVID-19 outbreak: resetting clinical priorities.","Mar 2020","Nature reviews. Gastroenterology & hepatology","32214232","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"36",,"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) - United States, February 12-March 16, 2020.","Mar 2020","MMWR. Morbidity and mortality weekly report","32214079","kearneh","1","Yes","Cohort Studies",,,,,,,,"General",,,,"ICU",,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,,,,,"Yes",
"36",,"Severe Outcomes Among Patients with Coronavirus Disease 2019 (COVID-19) - United States, February 12-March 16, 2020.","Mar 2020","MMWR. Morbidity and mortality weekly report","32214079","becky.jones","1","Yes","Cohort Studies",,,,,,,,"General",,,,"ICU",,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,,,,,"Yes",
"43","X Jin, JS Lian, JH Hu, J Gao, L Zheng, YM Zhang, SR Hao, HY Jia, H Cai, XL Zhang, GD Yu, KJ Xu, XY Wang, JQ Gu, SY Zhang, CY Ye, CL Jin, YF Lu, X Yu, XP Yu, JR Huang, KL Xu, Q Ni, CB Yu, B Zhu, YT Li, J Liu, H Zhao, X Zhang, L Yu, YZ Guo, JW Su, JJ Tao, GJ Lang, XX Wu, WR Wu, TT Qv, DR Xiang, P Yi, D Shi, Y Chen, Y Ren, YQ Qiu, LJ Li, J Sheng, Y Yang","Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms.","Mar 2020","Gut","32213556","kearneh","1","Yes","Cohort Studies",,,,,,"Gastroenterology",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,,,,,"Yes",
"43","X Jin, JS Lian, JH Hu, J Gao, L Zheng, YM Zhang, SR Hao, HY Jia, H Cai, XL Zhang, GD Yu, KJ Xu, XY Wang, JQ Gu, SY Zhang, CY Ye, CL Jin, YF Lu, X Yu, XP Yu, JR Huang, KL Xu, Q Ni, CB Yu, B Zhu, YT Li, J Liu, H Zhao, X Zhang, L Yu, YZ Guo, JW Su, JJ Tao, GJ Lang, XX Wu, WR Wu, TT Qv, DR Xiang, P Yi, D Shi, Y Chen, Y Ren, YQ Qiu, LJ Li, J Sheng, Y Yang","Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms.","Mar 2020","Gut","32213556","becky.jones","1","Yes","Cohort Studies",,,,"Emergency Medicine",,"Gastroenterology",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,"Natural history studies",,,,,,,,,,,"Yes",
"45","T Greenhalgh, GCH Koh, J Car","Covid-19: a remote assessment in primary care.","Mar 2020","BMJ (Clinical research ed.)","32213507","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,"Family Medicine",,,"General",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"45","T Greenhalgh, GCH Koh, J Car","Covid-19: a remote assessment in primary care.","Mar 2020","BMJ (Clinical research ed.)","32213507","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,"Family Medicine",,,"General",,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,,,,,"Yes",
"53","KK To, OT Tsang, WS Leung, AR Tam, TC Wu, DC Lung, CC Yip, JP Cai, JM Chan, TS Chik, DP Lau, CY Choi, LL Chen, WM Chan, KH Chan, JD Ip, AC Ng, RW Poon, CT Luo, VC Cheng, JF Chan, IF Hung, Z Chen, H Chen, KY Yuen","Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2: an observational cohort study.","Mar 2020","The Lancet. Infectious diseases","32213337","kearneh","1","Yes","Cohort Studies",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
"53","KK To, OT Tsang, WS Leung, AR Tam, TC Wu, DC Lung, CC Yip, JP Cai, JM Chan, TS Chik, DP Lau, CY Choi, LL Chen, WM Chan, KH Chan, JD Ip, AC Ng, RW Poon, CT Luo, VC Cheng, JF Chan, IF Hung, Z Chen, H Chen, KY Yuen","Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2: an observational cohort study.","Mar 2020","The Lancet. Infectious diseases","32213337","becky.jones","1","Yes","Cohort Studies",,,,"Emergency Medicine","Family Medicine",,,"General",,,"Internal Medicine",,,,,,,,,,,,,,,,"Other","ENT",,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,,,,,,,,"Yes",
