"Refid","Author","Title","Abstract","Date","Journal","PMID","User","Level","Were you able to find the article? ","Type of Study","Speciality Bucket -> Anesthesia","Speciality Bucket -> Cardiology","Speciality Bucket -> Dermatology","Speciality Bucket -> Emergency Medicine","Speciality Bucket -> Family Medicine","Speciality Bucket -> Gastroenterology","Speciality Bucket -> Geriatrics","Speciality Bucket -> General","Speciality Bucket -> Hematology","Speciality Bucket -> ICU","Speciality Bucket -> Infectious Disease","Speciality Bucket -> Immunology","Speciality Bucket -> Internal Medicine","Speciality Bucket -> Medical Education","Speciality Bucket -> Microbiology","Speciality Bucket -> Nephrology","Speciality Bucket -> Neurology","Speciality Bucket -> OBGYN","Speciality Bucket -> Oncology","Speciality Bucket -> Ophthalmology","Speciality Bucket -> Palliative Care","Speciality Bucket -> Pathology","Speciality Bucket -> Pediatrics","Speciality Bucket -> Public Health","Speciality Bucket -> Psych","Speciality Bucket -> Respirology","Speciality Bucket -> Rheumatology","Speciality Bucket -> Radiology","Speciality Bucket -> Surgery","Speciality Bucket -> Urology","Type Bucket -> Evidence-based guidance documents and guidelines","Type Bucket -> High quality observational  studies (cohort, case-control studies, etc.)","Type Bucket -> High quality experimental studies (RCTs)","Type Bucket -> Natural history studies","Type Bucket -> Case report","Type Bucket -> Lab studies","Type Bucket -> Reports of interventions/treatments","Type Bucket -> Imaging studies","Type Bucket -> Letter to the Editor/Opinion/Narrative Review","Type Bucket -> Statistical modelling/analytical studies","Should this reference be included in the next stage? ",
"5","TL Ang","Gastrointestinal endoscopy during COVID-19 pandemic.",,"Mar 2020","Journal of gastroenterology and hepatology","32216110","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"5","TL Ang","Gastrointestinal endoscopy during COVID-19 pandemic.",,"Mar 2020","Journal of gastroenterology and hepatology","32216110","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,,,,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"6","T Sun, J Guan","Novel coronavirus and central nervous system.","An outbreak of a novel coronavirus (2019-nCoV) that emerged in Wuhan has rapidly spread throughout China and has now become a global public health concern. As of the early March, a total of 100,000 cases have been confirmed in multiple countries. Clinical characteristics of 2019-nCoV that respiratory symptoms, such as cough, are the most common.[1] This is consistent with the finding that the majority of patients are virus-positive in nasopharyngeal and oropharyngeal swabs suggesting it mainly invades and infects the respiratory system, a hypothesis supported by pathological data.[2] In addition, it has been reported that patients' stool has tested positive for 2019-nCoV, indicating that the virus could spread from the respiratory tract to the digestive tract, or that individuals could be infected via the faecal-oral route. However, the neuroinvasive potential of 2019-nCoV remains poorly understood.  ","Mar 2020","European journal of neurology","32216009","kearneh","1","Yes",,,,,,,,,,,,,,,,,,"Neurology",,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"6","T Sun, J Guan","Novel coronavirus and central nervous system.","An outbreak of a novel coronavirus (2019-nCoV) that emerged in Wuhan has rapidly spread throughout China and has now become a global public health concern. As of the early March, a total of 100,000 cases have been confirmed in multiple countries. Clinical characteristics of 2019-nCoV that respiratory symptoms, such as cough, are the most common.[1] This is consistent with the finding that the majority of patients are virus-positive in nasopharyngeal and oropharyngeal swabs suggesting it mainly invades and infects the respiratory system, a hypothesis supported by pathological data.[2] In addition, it has been reported that patients' stool has tested positive for 2019-nCoV, indicating that the virus could spread from the respiratory tract to the digestive tract, or that individuals could be infected via the faecal-oral route. However, the neuroinvasive potential of 2019-nCoV remains poorly understood.  ","Mar 2020","European journal of neurology","32216009","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,,,,,,,,,,"Neurology",,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"8","SH Wong, RN Lui, JJ Sung","Covid-19 and the Digestive System.","The novel coronavirus disease (Covid-19) is currently causing a major pandemic. It is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the Betacoronavirus genus that also includes the SARS-CoV and Middle East Respiratory Syndrome Coronavirus (MERS-CoV). While patients typically present with fever and a respiratory illness, some patients also report gastrointestinal symptoms such as diarrhoea, vomiting and abdominal pain. Studies have identified the SARS-CoV-2 RNA in stool specimens of infected patients, and its viral receptor angiotensin converting enzyme 2 (ACE2) was found to be highly expressed in gastrointestinal epithelial cells. These suggest that SARS-CoV-2 can actively infect and replicate in the gastrointestinal tract. This has important implications to the disease management, transmission, and infection control. In this article, we review the important gastrointestinal aspects of the disease.  ","Mar 2020","Journal of gastroenterology and hepatology","32215956","kearneh","1","Yes","Narrative Review/Expert Opinion",,,,,,"Gastroenterology",,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"8","SH Wong, RN Lui, JJ Sung","Covid-19 and the Digestive System.","The novel coronavirus disease (Covid-19) is currently causing a major pandemic. It is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the Betacoronavirus genus that also includes the SARS-CoV and Middle East Respiratory Syndrome Coronavirus (MERS-CoV). While patients typically present with fever and a respiratory illness, some patients also report gastrointestinal symptoms such as diarrhoea, vomiting and abdominal pain. Studies have identified the SARS-CoV-2 RNA in stool specimens of infected patients, and its viral receptor angiotensin converting enzyme 2 (ACE2) was found to be highly expressed in gastrointestinal epithelial cells. These suggest that SARS-CoV-2 can actively infect and replicate in the gastrointestinal tract. This has important implications to the disease management, transmission, and infection control. In this article, we review the important gastrointestinal aspects of the disease.  ","Mar 2020","Journal of gastroenterology and hepatology","32215956","Daniellevin","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"9","S Recalcati","Cutaneous manifestations in COVID-19: a first perspective.","In December 2019 unexplained pneumonia cases were initially reported in Wuhan, China. The pathogen, a novel coronavirus named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), was isolated from lower respiratory tract samples of infected patients and the resultant disease was termed as COVID-19 (Coronavirus Disease 2019) . By Feb 15, COVID-19 has rapidly spread throughout China and across the world, until a pandemic condition was announced by March 11 .  ","Mar 2020","Journal of the European Academy of Dermatology and Venereology : JEADV","32215952","kearneh","1","Yes","Survey",,,"Dermatology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"9","S Recalcati","Cutaneous manifestations in COVID-19: a first perspective.","In December 2019 unexplained pneumonia cases were initially reported in Wuhan, China. The pathogen, a novel coronavirus named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), was isolated from lower respiratory tract samples of infected patients and the resultant disease was termed as COVID-19 (Coronavirus Disease 2019) . By Feb 15, COVID-19 has rapidly spread throughout China and across the world, until a pandemic condition was announced by March 11 .  ","Mar 2020","Journal of the European Academy of Dermatology and Venereology : JEADV","32215952","Daniellevin","1","Yes","Survey",,,"Dermatology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"11","OW Hamer, B Salzberger, J Gebauer, C Stroszczynski, M Pfeifer","CT morphology of COVID-19: Case report and review of literature.",,"Mar 2020","RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","32215898","becky.jones","1","Yes","Systematic Review",,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,"Respirology",,"Radiology",,,,,,,,,,"Imaging studies",,,"Yes",
"11","OW Hamer, B Salzberger, J Gebauer, C Stroszczynski, M Pfeifer","CT morphology of COVID-19: Case report and review of literature.",,"Mar 2020","RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin","32215898","Meghanglibbery","1","Yes","Systematic Review",,,,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,"Respirology",,"Radiology",,,,,,,,,,"Imaging studies",,,"Yes",
"14","S Ekins, TR Lane, PB Madrid","Tilorone: a Broad-Spectrum Antiviral Invented in the USA and Commercialized in Russia and beyond.","For the last 50 years we have known of a broad-spectrum agent tilorone dihydrochloride (Tilorone). This is a small-molecule orally bioavailable drug that was originally discovered in the USA and is currently used clinically as an antiviral in Russia and the Ukraine. Over the years there have been numerous clinical and non-clinical reports of its broad spectrum of antiviral activity. More recently we have identified additional promising antiviral activities against Middle East Respiratory Syndrome, Chikungunya, Ebola and Marburg which highlights that this old drug may have other uses against new viruses. This may in turn inform the types of drugs that we need for virus outbreaks such as for the new coronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Tilorone has been long neglected by the west in many respects but it deserves further reassessment in light of current and future needs for broad-spectrum antivirals.  ","Mar 2020","Pharmaceutical research","32215760","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"14","S Ekins, TR Lane, PB Madrid","Tilorone: a Broad-Spectrum Antiviral Invented in the USA and Commercialized in Russia and beyond.","For the last 50 years we have known of a broad-spectrum agent tilorone dihydrochloride (Tilorone). This is a small-molecule orally bioavailable drug that was originally discovered in the USA and is currently used clinically as an antiviral in Russia and the Ukraine. Over the years there have been numerous clinical and non-clinical reports of its broad spectrum of antiviral activity. More recently we have identified additional promising antiviral activities against Middle East Respiratory Syndrome, Chikungunya, Ebola and Marburg which highlights that this old drug may have other uses against new viruses. This may in turn inform the types of drugs that we need for virus outbreaks such as for the new coronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Tilorone has been long neglected by the west in many respects but it deserves further reassessment in light of current and future needs for broad-spectrum antivirals.  ","Mar 2020","Pharmaceutical research","32215760","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reports of interventions/treatments",,,,"Yes",
"15","K Li, Y Fang, W Li, C Pan, P Qin, Y Zhong, X Liu, M Huang, Y Liao, S Li","CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19).","OBJECTIVES: To explore the relationship between the imaging manifestations and clinical classification of COVID-19.  METHODS: We conducted a retrospective single-center study on patients with COVID-19 from Jan. 18, 2020 to Feb. 7, 2020 in Zhuhai, China. Patients were divided into 3 types based on Chinese guideline: mild (patients with minimal symptoms and negative CT findings), common, and severe-critical (patients with positive CT findings and different extent of clinical manifestations). CT visual quantitative evaluation was based on summing up the acute lung inflammatory lesions involving each lobe, which was scored as 0 (0%), 1 (1-25%), 2 (26-50%), 3 (51-75%), or 4 (76-100%), respectively. The total severity score (TSS) was reached by summing the five lobe scores. The consistency of two observers was evaluated. The TSS was compared with the clinical classification. ROC was used to test the diagnosis ability of TSS for severe-critical type.  RESULTS: This study included 78 patients, 38 males and 40 females. There were 24 mild (30.8%), 46 common (59.0%), and 8 severe-critical (10.2%) cases, respectively. The median TSS of severe-critical-type group was significantly higher than common type (p < 0.001). The ICC value of the two observers was 0.976 (95% CI 0.962-0.985). ROC analysis showed the area under the curve (AUC) of TSS for diagnosing severe-critical type was 0.918. The TSS cutoff of 7.5 had 82.6% sensitivity and 100% specificity.  CONCLUSIONS: The proportion of clinical mild-type patients with COVID-19 was relatively high; CT was not suitable for independent screening tool. The CT visual quantitative analysis has high consistency and can reflect the clinical classification of COVID-19.  KEY POINTS: • CT visual quantitative evaluation has high consistency (ICC value of 0.976) among the observers. The median TSS of severe-critical type group was significantly higher than common type (p < 0.001). • ROC analysis showed the area under the curve (AUC) of TSS for diagnosing severe-critical type was 0.918 (95% CI 0.843-0.994). The TSS cutoff of 7.5 had 82.6% sensitivity and 100% specificity. • The proportion of confirmed COVID-19 patients with normal chest CT was relatively high (30.8%); CT was not a suitable screening modality.  ","Mar 2020","European radiology","32215691","becky.jones","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,"Imaging studies",,,"Yes",
"15","K Li, Y Fang, W Li, C Pan, P Qin, Y Zhong, X Liu, M Huang, Y Liao, S Li","CT image visual quantitative evaluation and clinical classification of coronavirus disease (COVID-19).","OBJECTIVES: To explore the relationship between the imaging manifestations and clinical classification of COVID-19.  METHODS: We conducted a retrospective single-center study on patients with COVID-19 from Jan. 18, 2020 to Feb. 7, 2020 in Zhuhai, China. Patients were divided into 3 types based on Chinese guideline: mild (patients with minimal symptoms and negative CT findings), common, and severe-critical (patients with positive CT findings and different extent of clinical manifestations). CT visual quantitative evaluation was based on summing up the acute lung inflammatory lesions involving each lobe, which was scored as 0 (0%), 1 (1-25%), 2 (26-50%), 3 (51-75%), or 4 (76-100%), respectively. The total severity score (TSS) was reached by summing the five lobe scores. The consistency of two observers was evaluated. The TSS was compared with the clinical classification. ROC was used to test the diagnosis ability of TSS for severe-critical type.  RESULTS: This study included 78 patients, 38 males and 40 females. There were 24 mild (30.8%), 46 common (59.0%), and 8 severe-critical (10.2%) cases, respectively. The median TSS of severe-critical-type group was significantly higher than common type (p < 0.001). The ICC value of the two observers was 0.976 (95% CI 0.962-0.985). ROC analysis showed the area under the curve (AUC) of TSS for diagnosing severe-critical type was 0.918. The TSS cutoff of 7.5 had 82.6% sensitivity and 100% specificity.  CONCLUSIONS: The proportion of clinical mild-type patients with COVID-19 was relatively high; CT was not suitable for independent screening tool. The CT visual quantitative analysis has high consistency and can reflect the clinical classification of COVID-19.  KEY POINTS: • CT visual quantitative evaluation has high consistency (ICC value of 0.976) among the observers. The median TSS of severe-critical type group was significantly higher than common type (p < 0.001). • ROC analysis showed the area under the curve (AUC) of TSS for diagnosing severe-critical type was 0.918 (95% CI 0.843-0.994). The TSS cutoff of 7.5 had 82.6% sensitivity and 100% specificity. • The proportion of confirmed COVID-19 patients with normal chest CT was relatively high (30.8%); CT was not a suitable screening modality.  ","Mar 2020","European radiology","32215691","Meghanglibbery","1","Yes","Cohort Studies",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiology",,,,"High quality observational  studies (cohort, case-control studies, etc.)",,,,,,"Imaging studies",,,"Yes",
"17","JT Poston, BK Patel, AM Davis","Management of Critically Ill Adults With COVID-19.",,"Mar 2020","JAMA","32215647","becky.jones","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,"Medical Education",,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"17","JT Poston, BK Patel, AM Davis","Management of Critically Ill Adults With COVID-19.",,"Mar 2020","JAMA","32215647","Meghanglibbery","1","Yes","Narrative Review/Expert Opinion",,,,,,,,"General",,,,,,"Medical Education",,,,,,,,,,,,,,,,,"Evidence-based guidance documents and guidelines",,,,,,,,,,"Yes",
"20","A Giacomelli, L Pezzati, F Conti, D Bernacchia, M Siano, L Oreni, S Rusconi, C Gervasoni, AL Ridolfo, G Rizzardini, S Antinori, M Galli","Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.",,"Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215618","becky.jones","1","Yes","Survey",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"20","A Giacomelli, L Pezzati, F Conti, D Bernacchia, M Siano, L Oreni, S Rusconi, C Gervasoni, AL Ridolfo, G Rizzardini, S Antinori, M Galli","Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.",,"Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215618","Meghanglibbery","1","Yes","Survey",,,,,,,,"General",,,,,,,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
"21","TC Hanff, MO Harhay, TS Brown, JB Cohen, AM Mohareb","Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.","Mortality from coronavirus disease 2019 (COVID-19) is strongly associated with cardiovascular disease, diabetes, and hypertension. These disorders share underlying pathophysiology related to the renin-angiotensin system (RAS) that may be clinically insightful. In particular, activity of the angiotensin-converting enzyme 2 (ACE2) is dysregulated in cardiovascular disease, and this enzyme is used by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) to initiate the infection. Cardiovascular disease and pharmacologic RAS inhibition both increase ACE2 levels, which may increase the virulence of SARS-CoV-2 within the lung and heart. Conversely, mechanistic evidence from related coronaviruses suggests that SARS-CoV-2 infection may downregulate ACE2, leading to toxic overaccumulation of Angiotensin II that induces acute respiratory distress syndrome and fulminant myocarditis. RAS inhibition could mitigate this effect. With conflicting mechanistic evidence, we propose key clinical research priorities necessary to clarify the role of RAS inhibition in COVID-19 mortality that could be rapidly addressed by the international research community.  ","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215613","kearneh","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,,,,,,,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,,,,,,"Letter to the Editor/Opinion/Narrative Review",,"Yes",
"21","TC Hanff, MO Harhay, TS Brown, JB Cohen, AM Mohareb","Is There an Association Between COVID-19 Mortality and the Renin-Angiotensin System-a Call for Epidemiologic Investigations.","Mortality from coronavirus disease 2019 (COVID-19) is strongly associated with cardiovascular disease, diabetes, and hypertension. These disorders share underlying pathophysiology related to the renin-angiotensin system (RAS) that may be clinically insightful. In particular, activity of the angiotensin-converting enzyme 2 (ACE2) is dysregulated in cardiovascular disease, and this enzyme is used by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) to initiate the infection. Cardiovascular disease and pharmacologic RAS inhibition both increase ACE2 levels, which may increase the virulence of SARS-CoV-2 within the lung and heart. Conversely, mechanistic evidence from related coronaviruses suggests that SARS-CoV-2 infection may downregulate ACE2, leading to toxic overaccumulation of Angiotensin II that induces acute respiratory distress syndrome and fulminant myocarditis. RAS inhibition could mitigate this effect. With conflicting mechanistic evidence, we propose key clinical research priorities necessary to clarify the role of RAS inhibition in COVID-19 mortality that could be rapidly addressed by the international research community.  ","Mar 2020","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America","32215613","becky.jones","1","Yes","Narrative Review/Expert Opinion",,"Cardiology",,"Emergency Medicine",,,,"General",,,,,"Internal Medicine",,,,,,,,,,,,,,,,,,,,,"Natural history studies",,,,,,,"Yes",
