,pmid,date
1,32268459,2020-03-31
2,32268458,2020-03-31
3,32268457,2020-03-31
4,32268456,2020-04-08
5,32268455,2020-04-08
6,32268454,2020-04-08
7,32268390,2020-04-08
8,32268381,2020-04-08
9,32268374,2020-04-09
10,32268360,2020-04-09
11,32268358,2020-04-09
12,32268352,2020-04-08
13,32268343,2020-04-08
14,32268300,2020-04-08
15,32268212,2020-04-05
16,32268196,2020-04-05
17,32268195,2020-04-05
18,32268188,2020-04-05
19,32268181,2020-04-05
20,32268168,2020-04-05
21,32268135,2020-04-05
22,32268134,2020-04-05
23,32268125,2020-04-04
24,32268059,2020-04-03
25,32268052,2020-04-03
26,32268051,2020-04-03
27,32268046,2020-04-03
28,32268045,2020-04-03
29,32268044,2020-04-03
30,32268043,2020-04-03
31,32268042,2020-04-03
32,32268041,NA
33,32268022,2020-04-08
34,32268020,2020-04-08
35,32268019,NA
36,32268018,NA
37,32268005,2020-04-08
38,32267998,2020-04-08
39,32267987,2020-04-08
40,32267984,2020-04-08
41,32267981,2020-04-08
42,32267979,2020-04-08
43,32267964,2020-04-08
44,32267963,2020-04-08
45,32267962,2020-04-08
46,32267950,2020-04-08
47,32267942,2020-04-03
48,32267928,2020-04-08
49,32267912,2020-04-08
50,32267833,2020-04-08
51,32267830,NA
52,32267829,NA
53,32267828,2020-04-05
54,32267826,2020-04-08
55,32267782,2020-04-08
56,32267771,2020-04-08
57,32267769,NA
58,32267768,NA
59,32267765,NA
60,32267762,NA
61,32267732,2020-04-08
62,32267678,2020-04-08
63,32267662,2020-04-03
64,32267661,2020-04-03
65,32267650,2020-04-07
66,32267613,2020-04-08
67,32267607,2020-04-08
68,32267566,2020-04-08
69,32267560,2020-04-08
70,32267556,2020-04-08
71,32267544,2020-04-08
72,32267538,2020-04-08
73,32267531,2020-04-08
74,32267530,NA
75,32267502,2020-04-08
76,32267494,2020-04-08
77,32267488,2020-04-08
78,32267485,2020-04-08
79,32267483,2020-04-08
80,32267461,2020-04-03
81,32267383,2020-04-06
82,32267343,2020-04-03
83,32267301,2020-04-06
84,32267300,2020-04-06
85,32267243,2020-04-07
86,32267220,2020-04-08
87,32267209,2020-04-08
88,32267164,2020-04-08
89,32267163,2020-04-03
90,32267160,2020-04-08
91,32267140,2020-04-08
92,32267139,2020-04-09
93,32267110,NA
94,32267109,NA
95,32267098,2020-04-08
96,32267081,2020-04-08
97,32267047,2020-04-08
98,32267016,2020-04-08
99,32267008,2020-04-08
100,32267002,2020-04-08
101,32267000,2020-04-08
102,32266995,2020-04-08
